idemplacementsilo;identifiant;adresse;commune;codefuv;observation_localisante;numerocircuit;gestionnaire;collecteur;datedebutexploitation;datecreation;maj_alphanumerique;maj_geometrie;insee;gid;lon;lat
E231;E231;1 Place Ampère;Neuville-sur-Saône;11316;;V101.0.CS;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;2013-02-26;69143;913;4,83864338121012;45,87653935930895
E188;E188;13 Avenue de Gadagne;Saint-Genis-Laval;15620;;V101.0.CS;Col Sud;COL VEOLIA;2019-02-01;2019-01-28;2019-01-28;;69204;924;4,793086722206765;45,70148721458088
9005;9005;39 Rue Raoul Servant;Lyon 7e Arrondissement;28688;A droite du silo à verre;X101.0.CS;Col Sud;COL VEOLIA;2023-11-23;2023-11-24;2023-11-24;;69387;5036;4,840328877229668;45,74623085960642
E775;E775;42 Avenue du Chater;Francheville;;;V101.0.CS;Col Sud;COL GUERIN;2022-04-20;2022-05-04;2022-05-12;2022-05-12;69089;945;4,770105034880227;45,74354607134465
7229;7229;Avenue Guy de Collongue;Écully;06699;;V101.0.CS;Col Nord-Ouest;COL VEOLIA;2018-01-22;2016-04-28;2018-04-24;;69081;946;4,766599034108314;45,783658213734356
7072;7072;63 Rue des Martyrs de la Résistance;Vénissieux;20388;;V101.0.CS;Col Sud;COL VEOLIA;2019-01-02;2019-01-11;2019-01-11;;69259;1001;4,872820716000092;45,69069985966107
E697;E697;Entree Place Claude Farrere;Saint-Priest;;;V101.0.CS;Col Est;COL GUERIN;2019-09-30;2019-11-07;2019-11-07;;69290;1020;4,948658856924303;45,68844392618135
9008;9008;8 Place Jules Guesde;Lyon 7e Arrondissement;28531;Devant le 7 place Jules Guesde à droite du silo à ;X101.0.CS;Col Sud;COL VEOLIA;2023-11-30;2023-12-01;2023-12-01;2023-12-01;69387;5037;4,83758508714469;45,7468603896619
4213;4213;Rue de Nantes Immeuble le Nantes;Meyzieu;;;V101.0.CS;Col Est;COL VEOLIA;2019-01-14;2019-02-11;2019-02-28;;69282;1041;5,009897916945036;45,761957324343335
7340;7340;9 Rue des Martyrs de la Résistance;Vénissieux;20388;;V101.0.CS;Col Sud;COL VEOLIA;2018-01-22;2017-03-24;2018-04-24;;69259;1043;4,87501398987882;45,692945192590884
E340;E340;109 Avenue Alexander Fleming;Caluire-et-Cuire;02761;;V101.0.CS;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2023-06-13;;69034;1046;4,848120643699122;45,793953972982585
E772;E772;42 Avenue du Chater;Francheville;07250;;V101.0.CS;Col Sud;COL GUERIN;2022-04-20;2022-05-04;2022-05-12;2022-05-12;69089;1053;4,7716803806446055;45,743864446289315
E218;E218;1 Rue de Jéricho/place Abbé pierre;Lyon 9e Arrondissement;;;W101.0.CS;Col Nord-Ouest;COL VEOLIA;2017-05-22;2010-05-07;2018-04-24;2013-02-22;69389;1066;4,795273379212692;45,7855856863546
7192B;7192B;38 Avenue Guy de Collongue;Écully;06699;;V101.0.CS;Col Nord-Ouest;COL VEOLIA;2018-01-22;2016-03-07;2018-04-24;;69081;1068;4,766092829178599;45,7833482522791
