idemplacementsilo;identifiant;adresse;commune;codefuv;observation_localisante;numerocircuit;gestionnaire;collecteur;datedebutexploitation;datecreation;maj_alphanumerique;maj_geometrie;insee;gid;lon;lat
5742;5742;Rue Marcel Achard angle georges clemenceau;Sainte-Foy-lès-Lyon;;;V101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;;2021-01-22;2008-07-16;69202;2614;4,808982090608233;45,74794076137022
5363;5363;Promenade de la Gare;Charbonnières-les-Bains;33907;;V101.0.VERRE;Col Sud;COL VEOLIA;2017-05-22;2005-07-11;2019-07-22;;69044;2626;4,736903681491081;45,781453429914976
3584;3584;Impasse Ernest Renan / Angle Rue Ernest Renan;Vaulx-en-Velin;;;Z101.0.VERRE;Col Est;COL GUERIN;2018-01-22;2008-09-19;2018-04-24;2010-12-29;69256;2628;4,903385812142303;45,78667090456838
7105;7105;Rue Alice Penisson;Saint-Fons;36012;;V101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;2015-10-16;2020-03-04;2020-03-04;69199;2630;4,854115648198376;45,70873770111911
4730;4730;77 Rue Emile Zola Face Impasse Champ Blanc;Décines-Charpieu;;;V101.0.VERRE;Col Est;GPE;2022-04-16;2022-05-02;2022-05-02;;69275;2634;4,94780319678766;45,76418422493119
3293;3293;Face au110 Rue Sully;Décines-Charpieu;;;V101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2015-12-03;2022-02-11;2022-02-11;69275;2649;4,975071826580389;45,76232119695965
4027;4027;Face au 67 Rue Octavie;Villeurbanne;;;Z101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2015-07-21;2018-04-24;;69266;2664;4,889365918964992;45,777885587612964
7101;7101;15 Allée de l'Arsenal;Saint-Fons;33877;;V101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;2015-10-16;2018-04-24;;69199;2635;4,855533396965913;45,71330686556092
E745;E745;Rue Olympe de Gouges;Villeurbanne;36567;;Z101.0.VERRE;Col Est;GPE;2020-01-01;2020-06-22;2020-06-22;;69266;2644;4,918170927908179;45,761235244621446
3609;3609;Rue Rabelais face Rue Mebout;Vaulx-en-Velin;;;Z101.0.VERRE;Col Est;COL GUERIN;2018-01-22;2014-05-19;2018-04-24;;69256;2654;4,916959680418676;45,77724985286639
5766;5766;11 Rue Professeur Deperet;Tassin-la-Demi-Lune;30481;;W101.0.VERRE;Col Sud;COL GUERIN;2018-01-22;2012-01-06;2020-07-13;;69244;2655;4,7610239072260025;45,75980033609046
1508;1508;199 Rue Joliot Curie;Lyon 5e Arrondissement;28315;;W101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;2007-05-25;2018-04-24;2013-02-21;69385;2657;4,774857753840867;45,753328139541026
1452;1452;1 Place de la Croix-Rousse;Lyon 4e Arrondissement;28020;;X101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;;2018-07-30;2013-05-14;69384;2666;4,831769242826227;45,77480041611562
E113;E113;6 Rue des Droits de l'Homme;Oullins;11657;;V101.0.VERRE;Col Sud;COL GUERIN;2018-05-25;2018-05-31;2018-05-31;;69149;2667;4,801831995094451;45,71292443616198
6685;6685;8ème Rue Cité Berliet;Saint-Priest;;Croisement 8e rue Cité Berliet et rue Henri Verneuil;V101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2016-03-07;2018-04-24;2016-12-23;69290;2704;4,903005725209711;45,70854030701503
3439;3439;31 Cours Emile Zola ;Villeurbanne;; à côté du casino;Z101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2016-02-05;2018-11-29;;69266;2672;4,865357437734786;45,77078450584047
E540;E540;21 Rue Willy Brandt;Villeurbanne;36591;;Z101.0.VERRE;Col Est;COL GUERIN;2021-06-04;2023-03-21;2023-03-30;;69266;2685;4,91848270285793;45,763617485326954
E341;E341;413 Rue Marius Donjon;Lyon 9e Arrondissement;32106;;W101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;2013-06-28;2020-08-20;2020-08-20;69389;2701;4,788230640213044;45,78695225478686
2327;2327;23 Rue des Trois Pierres;Lyon 7e Arrondissement;28616;;X101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;;2023-07-07;2023-07-07;69387;2709;4,846421253866077;45,74835549754765
7119;7119;841 Rue du 8 Mai 1945;Craponne;05882;;V101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;2015-11-18;2018-04-24;;69069;2714;4,7163212923617515;45,737888279611354
5604;5604;Face 245 Avenue Charles de Gaulle;Tassin-la-Demi-Lune;18656;;W101.0.VERRE;Col Sud;COL GUERIN;2018-01-22;;2018-04-24;2017-06-19;69244;2717;4,767330142151382;45,75191306780319
6194;6194;Rue Jean Jaures Angle Rue Claude Delaigue;Bron;;;Y101.0.VERRE;Col Est;GPE;2018-01-22;2014-01-21;2018-04-24;;69029;2721;4,904320090659625;45,730033309757005
4649b;4649b;539 Chemin de la Plage;Rochetaillée-sur-Saône;12953;;V101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;2014-02-03;2018-04-24;;69168;2723;4,835598685813172;45,83627832242377
7114;7114;9 Rue de Montbrillant;Lyon 3e Arrondissement;27824;;Y101.0.VERRE;Col Est;GPE;2017-05-22;2015-11-02;2018-04-24;2015-11-02;69383;2726;4,870414948158185;45,749996620688655
7486;7486;10 Rue Saint Jérome;Lyon 7e Arrondissement;28697;;X101.0.VERRE;Col Sud;COL GUERIN;2021-10-07;2021-11-18;2022-04-13;2022-04-13;69387;2741;4,8441768844105555;45,74988443833957
6930;6930;18 Avenue du Docteur Georges Lévy;Vénissieux;20229;;V101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;2008-09-17;2020-08-06;;69259;2750;4,85733865483722;45,71931373720459
6508;6508;5 Avenue Aristide Briand;Saint-Fons;15131;;V101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;;2020-11-17;2020-11-17;69199;2752;4,859808909874393;45,707175442614066
2329;2329;34 Rue de l'Abbé Boisard;Lyon 7e Arrondissement;28560;;X101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;;2022-04-05;2022-04-05;69387;2754;4,8553729719682375;45,750056460998934
3581;3581;Avenue du 8 Mai 1945;Vaulx-en-Velin;;;Z101.0.VERRE;Col Est;COL GUERIN;2018-01-22;;2018-04-24;2010-12-29;69256;2756;4,918209979402535;45,787085261136674
2300;2300;52 Rue Chevreul;Lyon 7e Arrondissement;28583;;X101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;;2022-04-13;2022-04-13;69387;2757;4,842350880467231;45,74758468370335
E446;E446;6 Rue du Contal;La Tour-de-Salvagny;35710;;V101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;2015-05-18;2020-03-05;;69250;2770;4,718510930791162;45,81655688229504
4633;4633;14 Avenue de la Paix;Saint-Germain-au-Mont-d'Or;16064;;V101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;;2018-04-24;2013-02-25;69207;2779;4,799196389223521;45,883647731262386
6678;6678;Rue André Lwoff face portail liv Hopital;Saint-Priest;;;V101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2015-07-06;2018-04-24;;69290;2780;4,925808464141136;45,71728683964262
5236;5236;Chemin des Fonts/Rue Chatelain;Sainte-Foy-lès-Lyon;;;V101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;;2018-04-24;2013-12-04;69202;2789;4,789554772611354;45,74100337699114
4503;4503;2 Chemin du Tison;Albigny-sur-Saône;00086;;V101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;;2018-04-24;2013-02-08;69003;2794;4,826882210635015;45,86627658524005
6657;6657;Avenue Charles de Gaulle;Saint-Priest;31614;;V101.0.VERRE;Col Est;COL GUERIN;2017-05-22;;2018-04-24;2005-12-23;69290;2796;4,929141214490175;45,70266275256552
4257;4257;Rue Rouget de l'Isle batiment découverte nature;Villeurbanne;;;Z101.0.VERRE;Col Est;COL GUERIN;2020-02-15;2020-02-27;2020-02-27;;69266;2812;4,885323302811529;45,78863954499633
