idemplacementsilo;identifiant;adresse;commune;codefuv;observation_localisante;numerocircuit;gestionnaire;collecteur;datedebutexploitation;datecreation;maj_alphanumerique;maj_geometrie;insee;gid;lon;lat
B0993;B0993;29 Quai du Docteur Gailleton;Lyon 2e Arrondissement;;BCA-30;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-13;2023-10-12;;;69382;4673;4,833045900182376;45,75249790001558
B1020;B1020;31 Rue Denuzière;Lyon 2e Arrondissement;;PC-57;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-18;2023-10-12;;;69382;4674;4,820241399922957;45,74526070002339
B0987;B0987;4 Rue Guynemer;Lyon 2e Arrondissement;;BCA-24;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-13;2023-10-12;;;69382;4675;4,826669399404086;45,75544650041551
B1015;B1015;22 Rue Quivogne;Lyon 2e Arrondissement;;PC-52;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-18;2023-10-12;;;69382;4676;4,824718599438031;45,74471060030077
B0994;B0994;30 Rue Vaubecour;Lyon 2e Arrondissement;;BCA-31;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-13;2023-10-12;;;69382;4677;4,825790299743287;45,75353559977055
B0966;B0966;Face au 15 Rue Mercière;Lyon 2e Arrondissement;;BCO-3;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-11;2023-10-12;;;69382;4678;4,832678200462294;45,76385679959017
B0970;B0970;9 Quai Jules Courmont;Lyon 2e Arrondissement;;BCO-7;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-11;2023-10-12;;;69382;4679;4,837906999751415;45,76123900043828
B0996;B0996;36 Rue Franklin;Lyon 2e Arrondissement;;BCA-33;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-13;2023-10-12;;;69382;4680;4,830319881345533;45,752113342658944
B1005;B1005;70 Cours Suchet;Lyon 2e Arrondissement;;PC-42;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-18;2023-10-12;;;69382;4681;4,827172400015535;45,74538230027364
B0997;B0997;37 Quai Gailleton;Lyon 2e Arrondissement;;BCA-34;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-13;2023-10-12;;;69382;4682;4,8324230003547965;45,751432000275486
