idemplacementsilo;identifiant;adresse;commune;codefuv;observation_localisante;numerocircuit;gestionnaire;collecteur;datedebutexploitation;datecreation;maj_alphanumerique;maj_geometrie;insee;gid;lon;lat
E502;E502;5 Rue Françoise Giroud;Lyon 9e Arrondissement;35646;;W101.0.OM;Col Nord-Ouest;NICOLLIN;2018-07-23;2018-09-14;2020-08-20;2020-08-20;69389;2446;4,793268709199067;45,78507074168127
E691;E691;9 Rue Claude Farrère;Saint-Priest;;;V101.0.OM;Col Est;COL GUERIN;2019-09-30;2019-11-07;2019-11-07;;69290;2485;4,950597508049371;45,68833661675941
E146;E146;12 Rue Gaston Monmousseau;Vénissieux;20432;;V101.0.OM;Col Sud;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69259;2487;4,877944321705445;45,69628071043928
E104;E104;1 Rue Renoir;Rillieux-la-Pape;25190;;V101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;2013-02-26;69286;2494;4,88952722854662;45,811618577658734
E459;E459;11 Rue du Peronnet;Vernaison;20611;;V101.0.OM;Col Sud;COL VEOLIA;2019-05-02;2019-05-27;2021-06-23;2021-06-23;69260;2546;4,813898999702016;45,65200112217575
E305;E305;7 Rue Jorge Semprun;Vénissieux;36069;;V101.0.OM;Col Sud;COL VEOLIA;2017-03-20;2017-03-21;2023-05-23;2023-05-23;69259;2560;4,87016745890126;45,694363680492415
E155;E155;9 Allée Jean Moulin;Givors;35170;;V101.0.OM;Col Sud;COL VEOLIA;2017-03-20;2017-06-22;2023-09-29;2023-09-29;69091;2624;4,764169202165284;45,60509999081025
E771;E771;42 Avenue du Chater;Francheville;;;V101.0.OM;Col Sud;COL GUERIN;2022-04-20;2022-05-12;2022-05-12;;69089;2639;4,770081274769458;45,74352176658365
E352;E352;15 Rue de la République;Couzon-au-Mont-d'Or;05753;;V101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69068;2647;4,831496216338494;45,84482732895321
E369;E369;58 Chemin des sources ;Écully;;;V101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69081;2671;4,787531355842112;45,790157144388054
4151;4151;36 Rue Claude Farrère;Saint-Priest;;;V101.0.OM;Col Est;COL VEOLIA;2018-06-01;2018-07-20;2019-03-29;2019-03-29;69290;2680;4,955529664083537;45,68839401150675
E535;E535;32 Rue Paul Verlaine;Vénissieux;20502;;V101.0.OM;Col Sud;COL GUERIN;2021-02-15;2021-03-01;2021-03-02;2021-03-02;69259;2703;4,857331888519432;45,72526617769143
E293;E293;8 Avenue Rosa Parks;Lyon 9e Arrondissement;35641;;W101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-05-22;2013-03-14;2020-08-20;2020-08-20;69389;2727;4,794437834046885;45,786519768954136
